model,precision,pstd,recall,rstd,f1score,fstd,accuracy,astd,hour
kNN,0.679,0.046,0.958,0.047,0.766,0.061,0.731,0.069,0
XGBoost,0.517,0.021,1.0,0.0,0.643,0.063,0.493,0.075,0
LightGBM,0.51,0.006,1.0,0.0,0.638,0.04,0.482,0.038,0
SVM,0.691,0.069,0.948,0.047,0.764,0.105,0.734,0.11,0
MISVM,0.827,0.039,0.729,0.114,0.759,0.067,0.792,0.049,0
SimMISVM,0.865,0.101,0.664,0.112,0.734,0.067,0.784,0.039,0
kNN,0.681,0.045,0.964,0.039,0.769,0.059,0.734,0.067,2
XGBoost,0.517,0.021,1.0,0.0,0.643,0.063,0.493,0.075,2
LightGBM,0.51,0.006,1.0,0.0,0.638,0.04,0.482,0.038,2
SVM,0.693,0.067,0.948,0.047,0.765,0.105,0.737,0.109,2
MISVM,0.827,0.039,0.729,0.114,0.759,0.067,0.792,0.049,2
SimMISVM,0.786,0.05,0.692,0.096,0.72,0.062,0.756,0.048,2
kNN,0.695,0.038,0.953,0.029,0.776,0.048,0.748,0.053,4
XGBoost,0.537,0.034,0.994,0.014,0.659,0.071,0.529,0.09,4
LightGBM,0.529,0.011,0.994,0.015,0.654,0.052,0.518,0.061,4
SVM,0.711,0.055,0.943,0.056,0.779,0.091,0.759,0.085,4
MISVM,0.811,0.06,0.741,0.111,0.759,0.076,0.787,0.061,4
SimMISVM,0.786,0.079,0.763,0.081,0.754,0.057,0.773,0.056,4
kNN,0.717,0.033,0.947,0.038,0.79,0.045,0.77,0.045,6
XGBoost,0.586,0.035,0.983,0.029,0.698,0.058,0.612,0.065,6
LightGBM,0.57,0.019,0.981,0.021,0.686,0.05,0.59,0.056,6
SVM,0.744,0.045,0.953,0.047,0.805,0.087,0.795,0.073,6
MISVM,0.817,0.057,0.759,0.084,0.771,0.062,0.795,0.051,6
SimMISVM,0.84,0.059,0.692,0.106,0.746,0.083,0.79,0.046,6
kNN,0.761,0.036,0.941,0.037,0.818,0.044,0.809,0.043,8
XGBoost,0.635,0.042,0.966,0.043,0.735,0.04,0.682,0.048,8
LightGBM,0.616,0.015,0.975,0.03,0.723,0.049,0.659,0.048,8
SVM,0.779,0.063,0.96,0.045,0.833,0.092,0.828,0.08,8
MISVM,0.841,0.051,0.778,0.061,0.793,0.032,0.814,0.024,8
SimMISVM,0.854,0.063,0.744,0.099,0.78,0.071,0.812,0.045,8
kNN,0.777,0.037,0.942,0.036,0.829,0.042,0.823,0.04,10
XGBoost,0.66,0.049,0.966,0.043,0.755,0.037,0.712,0.051,10
LightGBM,0.629,0.008,0.975,0.03,0.734,0.037,0.679,0.027,10
SVM,0.795,0.056,0.972,0.024,0.848,0.079,0.845,0.067,10
MISVM,0.844,0.05,0.789,0.07,0.799,0.033,0.82,0.021,10
SimMISVM,0.861,0.055,0.83,0.09,0.831,0.06,0.848,0.047,10
kNN,0.803,0.023,0.924,0.041,0.84,0.021,0.839,0.017,12
XGBoost,0.703,0.067,0.958,0.051,0.783,0.06,0.756,0.071,12
LightGBM,0.665,0.014,0.965,0.031,0.759,0.035,0.72,0.029,12
SVM,0.804,0.042,0.966,0.031,0.853,0.065,0.853,0.049,12
MISVM,0.842,0.045,0.809,0.082,0.808,0.026,0.825,0.018,12
SimMISVM,0.832,0.065,0.811,0.073,0.802,0.034,0.817,0.035,12
kNN,0.811,0.029,0.901,0.055,0.834,0.016,0.837,0.012,14
XGBoost,0.717,0.066,0.946,0.058,0.788,0.061,0.768,0.069,14
LightGBM,0.674,0.023,0.952,0.037,0.762,0.043,0.728,0.038,14
SVM,0.805,0.039,0.936,0.046,0.842,0.065,0.845,0.047,14
MISVM,0.841,0.047,0.801,0.078,0.804,0.03,0.823,0.016,14
SimMISVM,0.884,0.076,0.803,0.083,0.831,0.091,0.853,0.071,14
kNN,0.814,0.031,0.918,0.048,0.844,0.024,0.845,0.02,16
XGBoost,0.724,0.06,0.94,0.068,0.79,0.061,0.773,0.065,16
LightGBM,0.686,0.027,0.945,0.038,0.768,0.048,0.74,0.043,16
SVM,0.814,0.04,0.936,0.056,0.847,0.068,0.85,0.05,16
MISVM,0.847,0.071,0.813,0.081,0.812,0.04,0.828,0.036,16
SimMISVM,0.868,0.051,0.83,0.081,0.833,0.044,0.851,0.027,16
kNN,0.829,0.037,0.936,0.06,0.86,0.03,0.862,0.025,18
XGBoost,0.739,0.062,0.94,0.068,0.8,0.065,0.787,0.067,18
LightGBM,0.695,0.022,0.945,0.038,0.775,0.04,0.751,0.033,18
SVM,0.818,0.039,0.936,0.056,0.849,0.07,0.853,0.051,18
MISVM,0.854,0.078,0.82,0.082,0.819,0.049,0.834,0.046,18
SimMISVM,0.892,0.049,0.777,0.119,0.814,0.059,0.842,0.033,18
kNN,0.828,0.035,0.936,0.06,0.86,0.032,0.862,0.027,20
XGBoost,0.751,0.05,0.94,0.068,0.81,0.058,0.801,0.053,20
LightGBM,0.711,0.028,0.945,0.038,0.787,0.038,0.767,0.033,20
SVM,0.824,0.035,0.936,0.056,0.854,0.065,0.859,0.047,20
MISVM,0.854,0.078,0.82,0.082,0.819,0.049,0.834,0.046,20
SimMISVM,0.862,0.069,0.836,0.11,0.828,0.038,0.842,0.035,20
kNN,0.838,0.03,0.936,0.06,0.868,0.021,0.87,0.016,22
XGBoost,0.763,0.069,0.932,0.069,0.815,0.071,0.809,0.066,22
LightGBM,0.722,0.035,0.945,0.038,0.796,0.035,0.778,0.036,22
SVM,0.829,0.026,0.936,0.046,0.859,0.052,0.864,0.034,22
MISVM,0.854,0.078,0.82,0.082,0.819,0.049,0.834,0.046,22
SimMISVM,0.89,0.065,0.858,0.086,0.86,0.058,0.875,0.041,22
kNN,0.846,0.027,0.936,0.06,0.872,0.023,0.875,0.017,24
XGBoost,0.769,0.068,0.932,0.069,0.819,0.068,0.814,0.064,24
LightGBM,0.728,0.033,0.945,0.038,0.8,0.036,0.784,0.035,24
SVM,0.837,0.025,0.941,0.039,0.867,0.048,0.873,0.029,24
MISVM,0.854,0.078,0.827,0.085,0.822,0.052,0.837,0.049,24
SimMISVM,0.9,0.032,0.862,0.034,0.872,0.012,0.884,0.015,24
